"trainer/global_step","cnn__large__l1__True - _step","cnn__large__l1__True - _step__MIN","cnn__large__l1__True - _step__MAX","cnn__large__l1__True - train_loss_step","cnn__large__l1__True - train_loss_step__MIN","cnn__large__l1__True - train_loss_step__MAX","cnn__medium__l1__True - _step","cnn__medium__l1__True - _step__MIN","cnn__medium__l1__True - _step__MAX","cnn__medium__l1__True - train_loss_step","cnn__medium__l1__True - train_loss_step__MIN","cnn__medium__l1__True - train_loss_step__MAX","cnn__small__l1__True - _step","cnn__small__l1__True - _step__MIN","cnn__small__l1__True - _step__MAX","cnn__small__l1__True - train_loss_step","cnn__small__l1__True - train_loss_step__MIN","cnn__small__l1__True - train_loss_step__MAX","cnn__expanded__l1__True - _step","cnn__expanded__l1__True - _step__MIN","cnn__expanded__l1__True - _step__MAX","cnn__expanded__l1__True - train_loss_step","cnn__expanded__l1__True - train_loss_step__MIN","cnn__expanded__l1__True - train_loss_step__MAX","cnn__lightweight__l1__True - _step","cnn__lightweight__l1__True - _step__MIN","cnn__lightweight__l1__True - _step__MAX","cnn__lightweight__l1__True - train_loss_step","cnn__lightweight__l1__True - train_loss_step__MIN","cnn__lightweight__l1__True - train_loss_step__MAX"
"99","0","0","0","0.007219763472676277","0.007219763472676277","0.007219763472676277","0","0","0","0.013413531705737114","0.011233927682042122","0.015593135729432106","0","0","0","0.01964462175965309","0.016429822891950607","0.022859420627355576","0","0","0","0.013123558834195137","0.013123558834195137","0.013123558834195137","0","0","0","0.015096005517989397","0.014060134999454021","0.016131876036524773"
"199","1","1","1","0.006827647797763348","0.006827647797763348","0.006827647797763348","1","1","1","0.009991663042455912","0.009893667884171009","0.010089658200740814","1","1","1","0.015144378878176212","0.014431556686758995","0.01585720106959343","1","1","1","0.0157074686139822","0.0157074686139822","0.0157074686139822","1","1","1","0.011881879065185785","0.00997947622090578","0.01378428190946579"
"299","2","2","2","0.0028143133968114853","0.0028143133968114853","0.0028143133968114853","2","2","2","0.010293514467775822","0.00858328863978386","0.012003740295767784","2","2","2","0.009313435759395361","0.008989519439637661","0.009637352079153061","2","2","2","0.007112280931323767","0.007112280931323767","0.007112280931323767","2","2","2","0.012920492328703403","0.012166015803813934","0.013674968853592873"
"399","3","3","3","0.004892796277999878","0.004892796277999878","0.004892796277999878","3","3","3","0.008480934891849756","0.006918434053659439","0.010043435730040073","3","3","3","0.009392325766384602","0.009319491684436798","0.009465159848332405","3","3","3","0.005704212002456188","0.005704212002456188","0.005704212002456188","3","3","3","0.014526821672916412","0.011189879849553108","0.017863763496279716"
"499","4","4","4","0.005073541309684515","0.005073541309684515","0.005073541309684515","4","4","4","0.007385211065411568","0.005910046398639679","0.008860375732183456","4","4","4","0.008825857192277908","0.008047359064221382","0.009604355320334435","4","4","4","0.005120942834764719","0.005120942834764719","0.005120942834764719","4","4","4","0.012769960798323154","0.011302459985017776","0.014237461611628532"
"599","5","5","5","0.003519232152029872","0.003519232152029872","0.003519232152029872","5","5","5","0.006375374970957637","0.005934160202741623","0.006816589739173651","5","5","5","0.0072000178042799234","0.005785034503787756","0.008615001104772091","5","5","5","0.004097086377441883","0.004097086377441883","0.004097086377441883","5","5","5","0.011497985105961561","0.010433807969093323","0.0125621622428298"
"699","6","6","6","0.0047782063484191895","0.0047782063484191895","0.0047782063484191895","6","6","6","0.005137545522302389","0.004078567959368229","0.006196523085236549","6","6","6","0.007146457210183144","0.0060101840645074844","0.008282730355858803","6","6","6","0.005292745307087898","0.005292745307087898","0.005292745307087898","6","6","6","0.00976507319137454","0.009737204760313034","0.009792941622436047"
"799","7","7","7","0.0030334200710058212","0.0030334200710058212","0.0030334200710058212","7","7","7","0.004783265758305788","0.004434461705386639","0.0051320698112249374","7","7","7","0.00724534154869616","0.006911200936883688","0.007579482160508633","7","7","7","0.0037241261452436447","0.0037241261452436447","0.0037241261452436447","7","7","7","0.01041114516556263","0.009844448417425156","0.010977841913700104"
"899","8","8","8","0.003363525029271841","0.003363525029271841","0.003363525029271841","8","8","8","0.004563097842037678","0.0044641075655817986","0.004662088118493557","8","8","8","0.007357251364737749","0.006463651545345783","0.008250851184129715","8","8","8","0.0034587285481393337","0.0034587285481393337","0.0034587285481393337","8","8","8","0.008114380296319723","0.0049387989565730095","0.011289961636066437"
"999","9","9","9","0.003945114091038704","0.003945114091038704","0.003945114091038704","9","9","9","0.00364298140630126","0.0032367268577218056","0.004049235954880714","9","9","9","0.006107441149652004","0.005573152564466","0.006641729734838009","9","9","9","0.0038264053873717785","0.0038264053873717785","0.0038264053873717785","9","9","9","0.007934799883514643","0.007547691464424133","0.008321908302605152"
