"trainer/global_step","cnn__medium__l1__True - _step","cnn__medium__l1__True - _step__MIN","cnn__medium__l1__True - _step__MAX","cnn__medium__l1__True - train_loss_epoch","cnn__medium__l1__True - train_loss_epoch__MIN","cnn__medium__l1__True - train_loss_epoch__MAX","cnn__large__l1__True - _step","cnn__large__l1__True - _step__MIN","cnn__large__l1__True - _step__MAX","cnn__large__l1__True - train_loss_epoch","cnn__large__l1__True - train_loss_epoch__MIN","cnn__large__l1__True - train_loss_epoch__MAX","cnn__small__l1__True - _step","cnn__small__l1__True - _step__MIN","cnn__small__l1__True - _step__MAX","cnn__small__l1__True - train_loss_epoch","cnn__small__l1__True - train_loss_epoch__MIN","cnn__small__l1__True - train_loss_epoch__MAX","cnn__expanded__l1__True - _step","cnn__expanded__l1__True - _step__MIN","cnn__expanded__l1__True - _step__MAX","cnn__expanded__l1__True - train_loss_epoch","cnn__expanded__l1__True - train_loss_epoch__MIN","cnn__expanded__l1__True - train_loss_epoch__MAX","cnn__lightweight__l1__True - _step","cnn__lightweight__l1__True - _step__MIN","cnn__lightweight__l1__True - _step__MAX","cnn__lightweight__l1__True - train_loss_epoch","cnn__lightweight__l1__True - train_loss_epoch__MIN","cnn__lightweight__l1__True - train_loss_epoch__MAX"
"2348","23","23","23","0.03493763133883476","0.03247131407260895","0.03740394860506058","23","23","23","0.02443842589855194","0.02443842589855194","0.02443842589855194","23","23","23","0.04206707701086998","0.0415821336209774","0.04255202040076256","23","23","23","0.030081143602728844","0.030081143602728844","0.030081143602728844","23","23","23","0.0676184855401516","0.06644090265035629","0.0687960684299469"
"4697","47","47","47","0.015461880713701248","0.014891738072037697","0.0160320233553648","47","47","47","0.012274151667952538","0.012274151667952538","0.012274151667952538","47","47","47","0.01647750288248062","0.016415080055594444","0.0165399257093668","47","47","47","0.01364442054182291","0.01364442054182291","0.01364442054182291","47","47","47","0.022679992951452732","0.019845295697450638","0.025514690205454826"
"7046","72","72","72","0.01266042748466134","0.012565437704324722","0.01275541726499796","72","72","72","0.0099277812987566","0.0099277812987566","0.0099277812987566","72","72","72","0.013935655355453491","0.0137180769816041","0.014153233729302883","72","72","72","0.01093282364308834","0.01093282364308834","0.01093282364308834","72","72","72","0.017066203989088535","0.016972359269857407","0.017160048708319664"
"9395","96","96","96","0.010976004879921675","0.01086683850735426","0.01108517125248909","96","96","96","0.008617904968559742","0.008617904968559742","0.008617904968559742","96","96","96","0.011959017720073462","0.011681225150823593","0.01223681028932333","96","96","96","0.009676116518676281","0.009676116518676281","0.009676116518676281","96","96","96","0.015549944248050451","0.015451976098120213","0.01564791239798069"
"11744","121","121","121","0.009840500075370073","0.0095536969602108","0.010127303190529346","121","121","121","0.007956000044941902","0.007956000044941902","0.007956000044941902","121","121","121","0.011095936875790358","0.010865626856684685","0.01132624689489603","121","121","121","0.00883539393544197","0.00883539393544197","0.00883539393544197","121","121","121","0.014008357655256987","0.013833079487085342","0.01418363582342863"
"14093","145","145","145","0.00885074120014906","0.008353912271559238","0.00934757012873888","145","145","145","0.007405953016132116","0.007405953016132116","0.007405953016132116","145","145","145","0.01046810345724225","0.010303385555744171","0.01063282135874033","145","145","145","0.008223917335271835","0.008223917335271835","0.008223917335271835","145","145","145","0.012596550397574902","0.012260135263204575","0.012932965531945229"
"16442","170","170","170","0.008142590522766113","0.0075475191697478294","0.008737661875784397","170","170","170","0.006854487117379904","0.006854487117379904","0.006854487117379904","170","170","170","0.009816731326282024","0.009613675065338612","0.010019787587225437","170","170","170","0.00780606921762228","0.00780606921762228","0.00780606921762228","170","170","170","0.011695282068103552","0.011250331066548824","0.01214023306965828"
"18791","194","194","194","0.007687367033213377","0.0070261526852846146","0.00834858138114214","194","194","194","0.006454673130065203","0.006454673130065203","0.006454673130065203","194","194","194","0.009222989901900291","0.009014448150992393","0.00943153165280819","194","194","194","0.007466754410415888","0.007466754410415888","0.007466754410415888","194","194","194","0.011142633855342865","0.010671003721654415","0.011614263989031315"
"21140","219","219","219","0.007300602970644832","0.006633203011006117","0.007968002930283546","","","","","","","219","219","219","0.008636797312647104","0.008344779722392559","0.00892881490290165","219","219","219","0.007136333733797073","0.007136333733797073","0.007136333733797073","219","219","219","0.010650100652128458","0.010172327980399132","0.011127873323857784"
"23489","243","243","243","0.007004409097135067","0.006444336846470833","0.007564481347799301","","","","","","","243","243","243","0.008098660269752145","0.007702826056629419","0.00849449448287487","243","243","243","0.006857217755168676","0.006857217755168676","0.006857217755168676","243","243","243","0.010225480422377586","0.009704148396849632","0.01074681244790554"
