"trainer/global_step","cnn__medium__l1__True - _step","cnn__medium__l1__True - _step__MIN","cnn__medium__l1__True - _step__MAX","cnn__medium__l1__True - train_loss_step","cnn__medium__l1__True - train_loss_step__MIN","cnn__medium__l1__True - train_loss_step__MAX","cnn__large__l1__True - _step","cnn__large__l1__True - _step__MIN","cnn__large__l1__True - _step__MAX","cnn__large__l1__True - train_loss_step","cnn__large__l1__True - train_loss_step__MIN","cnn__large__l1__True - train_loss_step__MAX","cnn__small__l1__True - _step","cnn__small__l1__True - _step__MIN","cnn__small__l1__True - _step__MAX","cnn__small__l1__True - train_loss_step","cnn__small__l1__True - train_loss_step__MIN","cnn__small__l1__True - train_loss_step__MAX","cnn__expanded__l1__True - _step","cnn__expanded__l1__True - _step__MIN","cnn__expanded__l1__True - _step__MAX","cnn__expanded__l1__True - train_loss_step","cnn__expanded__l1__True - train_loss_step__MIN","cnn__expanded__l1__True - train_loss_step__MAX","cnn__lightweight__l1__True - _step","cnn__lightweight__l1__True - _step__MIN","cnn__lightweight__l1__True - _step__MAX","cnn__lightweight__l1__True - train_loss_step","cnn__lightweight__l1__True - train_loss_step__MIN","cnn__lightweight__l1__True - train_loss_step__MAX"
"99","0","0","0","0.10498046875","0.0611572265625","0.1488037109375","0","0","0","0.061614990234375","0.061614990234375","0.061614990234375","0","0","0","0.187957763671875","0.07977294921875","0.296142578125","0","0","0","0.09454345703125","0.09454345703125","0.09454345703125","0","0","0","0.187255859375","0.1600341796875","0.2144775390625"
"199","1","1","1","0.110137939453125","0.10162353515625","0.11865234375","1","1","1","0.052215576171875","0.052215576171875","0.052215576171875","1","1","1","0.088043212890625","0.0653076171875","0.11077880859375","1","1","1","0.056640625","0.056640625","0.056640625","1","1","1","0.096405029296875","0.08929443359375","0.103515625"
"299","2","2","2","0.0618896484375","0.06011962890625","0.06365966796875","2","2","2","0.036224365234375","0.036224365234375","0.036224365234375","2","2","2","0.074737548828125","0.07330322265625","0.076171875","2","2","2","0.041229248046875","0.041229248046875","0.041229248046875","2","2","2","0.1061248779296875","0.052337646484375","0.159912109375"
"399","3","3","3","0.08050537109375","0.0538330078125","0.107177734375","3","3","3","0.0285491943359375","0.0285491943359375","0.0285491943359375","3","3","3","0.053070068359375","0.050628662109375","0.055511474609375","3","3","3","0.046539306640625","0.046539306640625","0.046539306640625","3","3","3","0.07012939453125","0.068603515625","0.0716552734375"
"499","4","4","4","0.040008544921875","0.037628173828125","0.042388916015625","4","4","4","0.0140838623046875","0.0140838623046875","0.0140838623046875","4","4","4","0.0609283447265625","0.048736572265625","0.0731201171875","4","4","4","0.053436279296875","0.053436279296875","0.053436279296875","4","4","4","0.05230712890625","0.051849365234375","0.052764892578125"
"599","5","5","5","0.038116455078125","0.036590576171875","0.039642333984375","5","5","5","0.01515960693359375","0.01515960693359375","0.01515960693359375","5","5","5","0.0471649169921875","0.0413818359375","0.052947998046875","5","5","5","0.027801513671875","0.027801513671875","0.027801513671875","5","5","5","0.057281494140625","0.05206298828125","0.0625"
"699","6","6","6","0.037200927734375","0.0343017578125","0.04010009765625","6","6","6","0.0180816650390625","0.0180816650390625","0.0180816650390625","6","6","6","0.0558319091796875","0.0531005859375","0.058563232421875","6","6","6","0.01552581787109375","0.01552581787109375","0.01552581787109375","6","6","6","0.0623931884765625","0.059783935546875","0.06500244140625"
"799","7","7","7","0.029815673828125","0.0288238525390625","0.0308074951171875","7","7","7","0.0184326171875","0.0184326171875","0.0184326171875","7","7","7","0.0479278564453125","0.0418701171875","0.053985595703125","7","7","7","0.0220794677734375","0.0220794677734375","0.0220794677734375","7","7","7","0.0661773681640625","0.059173583984375","0.07318115234375"
"899","8","8","8","0.022674560546875","0.0171661376953125","0.0281829833984375","8","8","8","0.0185699462890625","0.0185699462890625","0.0185699462890625","8","8","8","0.04266357421875","0.03961181640625","0.04571533203125","8","8","8","0.017303466796875","0.017303466796875","0.017303466796875","8","8","8","0.0616455078125","0.059326171875","0.06396484375"
"999","9","9","9","0.03002166748046875","0.0209808349609375","0.0390625","9","9","9","0.020263671875","0.020263671875","0.020263671875","9","9","9","0.03553009033203125","0.0246734619140625","0.04638671875","9","9","9","0.0171661376953125","0.0171661376953125","0.0171661376953125","9","9","9","0.045867919921875","0.0455322265625","0.04620361328125"
"1099","10","10","10","0.016269683837890625","0.01233673095703125","0.02020263671875","10","10","10","0.0142974853515625","0.0142974853515625","0.0142974853515625","10","10","10","0.0349273681640625","0.0257568359375","0.044097900390625","10","10","10","0.019317626953125","0.019317626953125","0.019317626953125","10","10","10","0.053375244140625","0.04583740234375","0.0609130859375"
"1199","11","11","11","0.014923095703125","0.012603759765625","0.017242431640625","11","11","11","0.0205535888671875","0.0205535888671875","0.0205535888671875","11","11","11","0.0307769775390625","0.02667236328125","0.034881591796875","11","11","11","0.0167999267578125","0.0167999267578125","0.0167999267578125","11","11","11","0.049285888671875","0.043487548828125","0.055084228515625"
"1299","12","12","12","0.026763916015625","0.0235748291015625","0.0299530029296875","12","12","12","0.01434326171875","0.01434326171875","0.01434326171875","12","12","12","0.026275634765625","0.0205078125","0.03204345703125","12","12","12","0.0161895751953125","0.0161895751953125","0.0161895751953125","12","12","12","0.044281005859375","0.039947509765625","0.048614501953125"
"1399","13","13","13","0.01865386962890625","0.016632080078125","0.0206756591796875","13","13","13","0.013458251953125","0.013458251953125","0.013458251953125","13","13","13","0.02854156494140625","0.027252197265625","0.0298309326171875","13","13","13","0.016265869140625","0.016265869140625","0.016265869140625","13","13","13","0.0507354736328125","0.04315185546875","0.058319091796875"
"1499","14","14","14","0.02082061767578125","0.01885986328125","0.0227813720703125","14","14","14","0.01508331298828125","0.01508331298828125","0.01508331298828125","14","14","14","0.024658203125","0.022216796875","0.027099609375","14","14","14","0.037689208984375","0.037689208984375","0.037689208984375","14","14","14","0.055450439453125","0.047607421875","0.06329345703125"
"1599","15","15","15","0.01821136474609375","0.0141754150390625","0.022247314453125","15","15","15","0.0107269287109375","0.0107269287109375","0.0107269287109375","15","15","15","0.02390289306640625","0.01953125","0.0282745361328125","15","15","15","0.01519775390625","0.01519775390625","0.01519775390625","15","15","15","0.047149658203125","0.038177490234375","0.056121826171875"
"1699","16","16","16","0.015796661376953125","0.01116180419921875","0.0204315185546875","16","16","16","0.01392364501953125","0.01392364501953125","0.01392364501953125","16","16","16","0.018993377685546875","0.01357269287109375","0.0244140625","16","16","16","0.020111083984375","0.020111083984375","0.020111083984375","16","16","16","0.04791259765625","0.0457763671875","0.050048828125"
"1799","17","17","17","0.01419830322265625","0.0134429931640625","0.01495361328125","17","17","17","0.01056671142578125","0.01056671142578125","0.01056671142578125","17","17","17","0.01706695556640625","0.01422119140625","0.0199127197265625","17","17","17","0.01727294921875","0.01727294921875","0.01727294921875","17","17","17","0.0394439697265625","0.036834716796875","0.04205322265625"
"1899","18","18","18","0.015106201171875","0.0123138427734375","0.0178985595703125","18","18","18","0.016876220703125","0.016876220703125","0.016876220703125","18","18","18","0.01384735107421875","0.0111236572265625","0.016571044921875","18","18","18","0.015625","0.015625","0.015625","18","18","18","0.04595947265625","0.041412353515625","0.050506591796875"
"1999","19","19","19","0.0163116455078125","0.010345458984375","0.02227783203125","19","19","19","0.01204681396484375","0.01204681396484375","0.01204681396484375","19","19","19","0.015621185302734375","0.01483917236328125","0.0164031982421875","19","19","19","0.01348876953125","0.01348876953125","0.01348876953125","19","19","19","0.0439453125","0.039642333984375","0.048248291015625"
"2099","20","20","20","0.017269134521484375","0.01320648193359375","0.021331787109375","20","20","20","0.011993408203125","0.011993408203125","0.011993408203125","20","20","20","0.017822265625","0.0155792236328125","0.0200653076171875","20","20","20","0.01320648193359375","0.01320648193359375","0.01320648193359375","20","20","20","0.0415191650390625","0.039886474609375","0.04315185546875"
"2199","21","21","21","0.0176239013671875","0.01666259765625","0.018585205078125","21","21","21","0.0140380859375","0.0140380859375","0.0140380859375","21","21","21","0.016632080078125","0.0162200927734375","0.0170440673828125","21","21","21","0.0188751220703125","0.0188751220703125","0.0188751220703125","21","21","21","0.03095245361328125","0.0300140380859375","0.031890869140625"
"2299","22","22","22","0.012393951416015625","0.01120758056640625","0.013580322265625","22","22","22","0.01549530029296875","0.01549530029296875","0.01549530029296875","22","22","22","0.0189666748046875","0.015411376953125","0.02252197265625","22","22","22","0.0165252685546875","0.0165252685546875","0.0165252685546875","22","22","22","0.035430908203125","0.03167724609375","0.0391845703125"
"2399","24","24","24","0.013851165771484375","0.0130462646484375","0.01465606689453125","24","24","24","0.0149078369140625","0.0149078369140625","0.0149078369140625","24","24","24","0.01947784423828125","0.0176849365234375","0.021270751953125","24","24","24","0.02789306640625","0.02789306640625","0.02789306640625","24","24","24","0.02783966064453125","0.0270538330078125","0.02862548828125"
"2499","25","25","25","0.01551055908203125","0.0113525390625","0.0196685791015625","25","25","25","0.0189208984375","0.0189208984375","0.0189208984375","25","25","25","0.015628814697265625","0.01529693603515625","0.015960693359375","25","25","25","0.024993896484375","0.024993896484375","0.024993896484375","25","25","25","0.0305328369140625","0.02313232421875","0.037933349609375"
"2599","26","26","26","0.014385223388671875","0.01039886474609375","0.01837158203125","26","26","26","0.014312744140625","0.014312744140625","0.014312744140625","26","26","26","0.0172119140625","0.0149383544921875","0.0194854736328125","26","26","26","0.0159759521484375","0.0159759521484375","0.0159759521484375","26","26","26","0.0317535400390625","0.022796630859375","0.04071044921875"
"2699","27","27","27","0.015766143798828125","0.01491546630859375","0.0166168212890625","27","27","27","0.0131988525390625","0.0131988525390625","0.0131988525390625","27","27","27","0.011196136474609375","0.0110015869140625","0.01139068603515625","27","27","27","0.021881103515625","0.021881103515625","0.021881103515625","27","27","27","0.02974700927734375","0.0218658447265625","0.037628173828125"
"2799","28","28","28","0.012798309326171875","0.00920867919921875","0.016387939453125","28","28","28","0.0106048583984375","0.0106048583984375","0.0106048583984375","28","28","28","0.016204833984375","0.01519775390625","0.0172119140625","28","28","28","0.0214996337890625","0.0214996337890625","0.0214996337890625","28","28","28","0.02855682373046875","0.0157623291015625","0.041351318359375"
"2899","29","29","29","0.013885498046875","0.012542724609375","0.015228271484375","29","29","29","0.01000213623046875","0.01000213623046875","0.01000213623046875","29","29","29","0.01773834228515625","0.0167388916015625","0.01873779296875","29","29","29","0.010833740234375","0.010833740234375","0.010833740234375","29","29","29","0.02597808837890625","0.0150604248046875","0.036895751953125"
"2999","30","30","30","0.01979827880859375","0.0126495361328125","0.026947021484375","30","30","30","0.01274871826171875","0.01274871826171875","0.01274871826171875","30","30","30","0.01705169677734375","0.0145416259765625","0.019561767578125","30","30","30","0.0183563232421875","0.0183563232421875","0.0183563232421875","30","30","30","0.0252685546875","0.020782470703125","0.029754638671875"
"3099","31","31","31","0.01573944091796875","0.01458740234375","0.0168914794921875","31","31","31","0.0126953125","0.0126953125","0.0126953125","31","31","31","0.0177764892578125","0.0170135498046875","0.0185394287109375","31","31","31","0.0096435546875","0.0096435546875","0.0096435546875","31","31","31","0.02194976806640625","0.0150146484375","0.0288848876953125"
